"","X.2","X.1","X","trait","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","significance"
"43",43,43,43,"chloro4","717A - (733B + 141)",-20.32142333,1.094257428,30.97120297,-24.33616478,-16.30668187,-18.57097133,5.32e-18,"****"
"44",44,44,44,"chloro4","717A - ExCtrl",-1.466423328,1.33696298,30.70340565,-6.376112895,3.443266239,-1.096831662,0.380613897,"ns"
"45",45,45,45,"chloro4","717A - InCtrl",1.219806997,1.102114901,31.77886476,-2.813031854,5.252645847,1.106787501,0.380613897,"ns"
"46",46,46,46,"chloro4","(717A + 141) - 733B",20.41240678,1.102114901,31.77886476,16.37956793,24.44524564,18.52112404,3.48e-18,"****"
"47",47,47,47,"chloro4","(717A + 141) - (733B + 141)",0.080337436,1.094257428,30.97120297,-3.934404017,4.095078889,0.073417309,0.959389611,"ns"
"48",48,48,48,"chloro4","(717A + 141) - ExCtrl",18.93533744,1.33696298,30.70340565,14.02564787,23.845027,14.1629482,9.97e-15,"****"
"49",49,49,49,"chloro4","(717A + 141) - InCtrl",21.62156776,1.102114901,31.77886476,17.58872891,25.65440661,19.61825191,1.7e-18,"****"
"50",50,50,50,"chloro4","733B - (733B + 141)",-20.33206935,1.094257428,30.97120297,-24.3468108,-16.3173279,-18.58070032,5.32e-18,"****"
"51",51,51,51,"chloro4","733B - ExCtrl",-1.477069349,1.33696298,30.70340565,-6.386758916,3.432620218,-1.104794501,0.380613897,"ns"
"52",52,52,52,"chloro4","733B - InCtrl",1.209160976,1.102114901,31.77886476,-2.823677875,5.241999826,1.097127872,0.380613897,"ns"
"53",53,53,53,"chloro4","(733B + 141) - ExCtrl",18.855,1.33049317,30.16999274,13.95992896,23.75007104,14.1714369,1.3e-14,"****"
"54",54,54,54,"chloro4","(733B + 141) - InCtrl",21.54123032,1.094257428,30.97120297,17.52648887,25.55597178,19.68570628,2.09e-18,"****"
"55",55,55,55,"chloro4","ExCtrl - InCtrl",2.686230325,1.33696298,30.70340565,-2.223459242,7.595919891,2.00920322,0.091741552,"ns"
"56",56,56,56,"height4","141 - 522",3.536677747,0.558612804,31.07251316,1.487871985,5.585483509,6.331179163,1.63e-06,"****"
"57",57,57,57,"height4","141 - (522 + 141)",-0.298322253,0.558612804,31.07251316,-2.347128015,1.750483509,-0.534041201,0.729805269,"ns"
"58",58,58,58,"height4","141 - 702A",4.251677747,0.558612804,31.07251316,2.202871985,6.300483509,7.611135502,1.89e-07,"****"
"59",59,59,59,"height4","141 - (702A + 141)",-0.043322253,0.558612804,31.07251316,-2.092128015,2.005483509,-0.077553276,0.938680661,"ns"
"60",60,60,60,"height4","141 - 717A",3.607848394,0.560259968,31.42525028,1.555404459,5.660292328,6.439596974,1.31e-06,"****"
