sample,treatment,replicate,rack,height1,leaf1
717co141-18-r26,717co141,18,26,2,3
717co141-19-r26,717co141,19,26,2.2,6
717co141-20-r26,717co141,20,26,2.3,3
733co141-1-r7,733co141,1,7,2.2,3
733co141-2-r7,733co141,2,7,2.4,6
733co141-3-r7,733co141,3,7,2.7,6
733co141-4-r7,733co141,4,7,2.1,6
733co141-5-r7,733co141,5,7,2.7,6
733co141-6-r17,733co141,6,17,3.1,6
733co141-7-r17,733co141,7,17,2.9,3
733co141-8-r17,733co141,8,17,1.2,3
733co141-9-r17,733co141,9,17,2.5,6
733co141-10-r17,733co141,10,17,3.7,6
733co141-11-r38,733co141,11,38,2.6,6
733co141-12-r38,733co141,12,38,1.1,3
733co141-13-r38,733co141,13,38,1.7,6
733co141-14-r38,733co141,14,38,2.3,6
733co141-15-r38,733co141,15,38,3,6
733co141-16-r40,733co141,16,40,3.1,6
733co141-17-r40,733co141,17,40,2.9,6
733co141-18-r40,733co141,18,40,2.3,5
733co141-19-r40,733co141,19,40,3.1,3
733co141-20-r40,733co141,20,40,2.5,6
InCtrl-1-r15,InCtrl,1,15,1.3,6
InCtrl-2-r15,InCtrl,2,15,2.3,6
InCtrl-3-r15,InCtrl,3,15,2.9,3
InCtrl-4-r15,InCtrl,4,15,2.3,3
InCtrl-5-r15,InCtrl,5,15,2.3,6
InCtrl-6-r23,InCtrl,6,23,1.4,3
InCtrl-7-r23,InCtrl,7,23,2.7,6
InCtrl-8-r23,InCtrl,8,23,2.7,6
InCtrl-9-r23,InCtrl,9,23,2.7,6
InCtrl-10-r23,InCtrl,10,23,2.6,6
InCtrl-11-r34,InCtrl,11,34,1.6,3
InCtrl-12-r34,InCtrl,12,34,2.9,5
InCtrl-13-r34,InCtrl,13,34,2.1,6
InCtrl-14-r34,InCtrl,14,34,2.3,6
InCtrl-15-r34,InCtrl,15,34,1.5,6
InCtrl-16-r6,InCtrl,16,6,1.3,3
InCtrl-17-r6,InCtrl,17,6,2.4,6
InCtrl-18-r6,InCtrl,18,6,2.7,6
InCtrl-19-r6,InCtrl,19,6,3,6
InCtrl-20-r6,InCtrl,20,6,2.1,6
ExCtrl-1-r41,ExCtrl,1,41,2.9,6
ExCtrl-2-r41,ExCtrl,2,41,2.7,3
ExCtrl-3-r41,ExCtrl,3,41,2.1,3
ExCtrl-4-r41,ExCtrl,4,41,1.3,6
ExCtrl-5-r41,ExCtrl,5,41,2.4,3
ExCtrl-6-r42,ExCtrl,6,42,2,3
ExCtrl-7-r42,ExCtrl,7,42,1.4,3
ExCtrl-8-r42,ExCtrl,8,42,2.9,6
ExCtrl-9-r42,ExCtrl,9,42,0.9,3
ExCtrl-10-r42,ExCtrl,10,42,3.3,6
