sample,treatment,replicate,rack,shoot_mass,root_mass
717co141-4-r29,717co141,4,29,253.82,70.14
717co141-5-r29,717co141,5,29,179.53,85.41
717co141-6-r8,717co141,6,8,NA,NA
717co141-7-r8,717co141,7,8,98.48,42.35
717co141-8-r8,717co141,8,8,182.56,70.31
717co141-9-r8,717co141,9,8,104.8,35.08
717co141-10-r8,717co141,10,8,72.23,63.72
717co141-11-r28,717co141,11,28,185.6,91.01
717co141-12-r28,717co141,12,28,336.84,194.69
717co141-13-r28,717co141,13,28,71.08,32.79
717co141-14-r28,717co141,14,28,339.9,124.52
717co141-15-r28,717co141,15,28,94.5,41.42
717co141-16-r26,717co141,16,26,161.85,67.95
717co141-17-r26,717co141,17,26,204.48,91.96
717co141-18-r26,717co141,18,26,108.19,35.36
717co141-19-r26,717co141,19,26,139.36,72.1
717co141-20-r26,717co141,20,26,70.58,44.66
733co141-1-r7,733co141,1,7,119.9,73.02
733co141-2-r7,733co141,2,7,210.67,81.06
733co141-3-r7,733co141,3,7,166.25,72.28
733co141-4-r7,733co141,4,7,114.1,52.73
733co141-5-r7,733co141,5,7,134.59,57.2
733co141-6-r17,733co141,6,17,204.47,68.92
733co141-7-r17,733co141,7,17,149.43,57.19
733co141-8-r17,733co141,8,17,76.88,29.33
733co141-9-r17,733co141,9,17,165.46,74.82
733co141-10-r17,733co141,10,17,324.09,176.7
733co141-11-r38,733co141,11,38,230.92,77.05
733co141-12-r38,733co141,12,38,122.82,53.23
733co141-13-r38,733co141,13,38,110.94,46.71
733co141-14-r38,733co141,14,38,205.07,72.77
733co141-15-r38,733co141,15,38,211.07,96.92
733co141-16-r40,733co141,16,40,240.07,108.36
733co141-17-r40,733co141,17,40,251.03,117.83
733co141-18-r40,733co141,18,40,127.86,50.74
733co141-19-r40,733co141,19,40,121.03,55.64
733co141-20-r40,733co141,20,40,238.77,102.17
InCtrl-1-r15,InCtrl,1,15,40.59,41.93
InCtrl-2-r15,InCtrl,2,15,47.97,70.87
InCtrl-3-r15,InCtrl,3,15,29.79,46.09
InCtrl-4-r15,InCtrl,4,15,44.95,33.46
InCtrl-5-r15,InCtrl,5,15,54.62,46.69
InCtrl-6-r23,InCtrl,6,23,55.01,49.19
InCtrl-7-r23,InCtrl,7,23,49.91,49.67
InCtrl-8-r23,InCtrl,8,23,46.24,48.44
InCtrl-9-r23,InCtrl,9,23,51.13,62.18
InCtrl-10-r23,InCtrl,10,23,55.1,58.67
InCtrl-11-r34,InCtrl,11,34,29.86,31.15
InCtrl-12-r34,InCtrl,12,34,45.79,55.82
InCtrl-13-r34,InCtrl,13,34,41.09,53.59
InCtrl-14-r34,InCtrl,14,34,35.12,52.32
InCtrl-15-r34,InCtrl,15,34,43.73,50.24
InCtrl-16-r6,InCtrl,16,6,37.3,52.51
InCtrl-17-r6,InCtrl,17,6,42,30.45
InCtrl-18-r6,InCtrl,18,6,52.26,51.62
InCtrl-19-r6,InCtrl,19,6,51.5,59.12
InCtrl-20-r6,InCtrl,20,6,45.27,66.32
ExCtrl-1-r41,ExCtrl,1,41,60.08,52.55
ExCtrl-2-r41,ExCtrl,2,41,51.7,67.25
ExCtrl-3-r41,ExCtrl,3,41,42.58,44.43
ExCtrl-4-r41,ExCtrl,4,41,34.1,43.61
ExCtrl-5-r41,ExCtrl,5,41,57.68,45.98
ExCtrl-6-r42,ExCtrl,6,42,40.4,19.55
ExCtrl-7-r42,ExCtrl,7,42,29.62,37.22
ExCtrl-8-r42,ExCtrl,8,42,42.22,64.46
ExCtrl-9-r42,ExCtrl,9,42,23.75,27.79
ExCtrl-10-r42,ExCtrl,10,42,46.56,54.85
