sample,treatment,replicate,rack,height4,leaf4,chloro4
141-1-r4,141,1,4,8.8,89,49.9
141-2-r4,141,2,4,9.5,74,43.5
141-3-r4,141,3,4,9.2,100,47.5
141-4-r4,141,4,4,8.3,88,49.9
141-5-r4,141,5,4,10.3,103,47
141-6-r12,141,6,12,6.5,66,47.1
141-7-r12,141,7,12,7,29,48
141-8-r12,141,8,12,8,79,49
141-9-r12,141,9,12,8.9,67,49.4
141-10-r12,141,10,12,7.3,71,48.7
141-11-r16,141,11,16,6.7,55,44.1
141-12-r16,141,12,16,6.8,73,51.9
141-13-r16,141,13,16,NA,NA,NA
141-14-r16,141,14,16,7,51,45.6
141-15-r16,141,15,16,7,53,43.6
141-16-r19,141,16,19,7.5,43,45.5
141-17-r19,141,17,19,9.2,70,46.5
141-18-r19,141,18,19,7.5,57,45.5
141-19-r19,141,19,19,9.1,58,47.1
141-20-r19,141,20,19,7.9,69,45.2
522-1-r11,522,1,11,5.5,22,27.6
522-2-r11,522,2,11,5.7,18,25.1
522-3-r11,522,3,11,4.8,13,26.2
522-4-r11,522,4,11,3.7,21,27.5
522-5-r11,522,5,11,5.3,15,27.4
522-6-r3,522,6,3,4.2,25,17.8
522-7-r3,522,7,3,3.9,33,18.1
522-8-r3,522,8,3,3.7,23,26.7
522-9-r3,522,9,3,4.3,27,26.3
522-10-r3,522,10,3,4,18,25.7
522-11-r36,522,11,36,3.6,24,21.3
522-12-r36,522,12,36,3.9,22,22.8
522-13-r36,522,13,36,4.3,26,21.7
522-14-r36,522,14,36,3.4,23,20.5
522-15-r36,522,15,36,4.4,19,24.9
522-16-r9,522,16,9,4.3,16,26.7
522-17-r9,522,17,9,5.3,19,24.2
522-18-r9,522,18,9,5.2,17,23.8
522-19-r9,522,19,9,5,19,24.3
522-20-r9,522,20,9,4.4,21,24
702-1-r31,702,1,31,3.8,27,22.1
702-2-r31,702,2,31,4.4,15,29.6
702-3-r31,702,3,31,3.4,17,20.1
702-4-r31,702,4,31,4.1,21,23
702-5-r31,702,5,31,4,17,26.3
702-6-r37,702,6,37,3.7,24,28.9
702-7-r37,702,7,37,3.6,18,26.3
702-8-r37,702,8,37,3.7,19,27.9
702-9-r37,702,9,37,4,19,26.5
702-10-r37,702,10,37,3.6,19,22.2
702-11-r35,702,11,35,3.8,19,26
702-12-r35,702,12,35,3.4,19,24.6
702-13-r35,702,13,35,3.8,19,26
702-14-r35,702,14,35,3.2,21,20.2
702-15-r35,702,15,35,4.1,19,26.1
702-16-r13,702,16,13,3.4,18,28.4
702-17-r13,702,17,13,3.6,18,27.1
702-18-r13,702,18,13,3.8,27,19.1
702-19-r13,702,19,13,3.4,25,27
702-20-r13,702,20,13,3.8,28,24.8
717-1-r24,717,1,24,3.6,20,23.5
717-2-r24,717,2,24,4.1,18,26.1
717-3-r24,717,3,24,4.3,27,25.5
717-4-r24,717,4,24,4.1,23,26.8
717-5-r24,717,5,24,4,21,25.6
717-6-r33,717,6,33,7.8,78,51.6
717-7-r33,717,7,33,3.6,30,25.3
717-8-r33,717,8,33,4.1,24,25.8
717-9-r33,717,9,33,3.3,16,24.8
717-10-r33,717,10,33,3.9,25,24.1
717-11-r21,717,11,21,5.1,24,26.6
717-12-r21,717,12,21,5.3,24,26.3
717-13-r21,717,13,21,4.2,19,22.3
717-14-r21,717,14,21,4.6,26,24.5
717-15-r21,717,15,21,3.9,30,29.4
717-16-r30,717,16,30,4.7,21,25.4
717-17-r30,717,17,30,4.2,29,24.1
717-18-r30,717,18,30,5.6,24,24.1
717-19-r30,717,19,30,5.3,19,28.6
717-20-r30,717,20,30,5.7,20,25.6
733-1-r5,733,1,5,3.8,24,29.2
733-2-r5,733,2,5,4.3,35,25.9
733-3-r5,733,3,5,3.6,20,23.6
733-4-r5,733,4,5,3.4,20,25.4
733-5-r5,733,5,5,4.3,24,28
733-6-r1,733,6,1,5.2,24,25.1
733-7-r1,733,7,1,5.2,24,27.1
733-8-r1,733,8,1,4.7,22,25.4
733-9-r1,733,9,1,4.3,30,25.4
733-10-r1,733,10,1,4.5,39,25.1
733-11-r25,733,11,25,3.2,19,23.1
733-12-r25,733,12,25,2.9,17,24.2
733-13-r25,733,13,25,3.1,18,24.8
